Institution Name,Head Office,Institution Type
HSBC Bank Middle East Limited,Dubai,Bank
Standard Chartered Bank,Dubai,Bank
Emirates NBD Bank P.J.S.C,Dubai,Bank
CitiBank N.A.,Dubai,Bank
Mashreq Bank P.S.C.,Dubai,Bank
Habib Bank Ltd.,Dubai,Bank
United Bank Ltd.,Dubai,Bank
First Abu Dhabi Bank P.J.S.C,Abu Dhabi,Bank
Bank Saderat Iran,Dubai,Bank
Commercial Bank of Dubai P.J.S.C,Dubai,Bank
Al Ahli Bank of Kuwait,Dubai,Bank
Bank Melli Iran,Dubai,Bank
Arab African International Bank,Dubai,Bank
Banque Misr,Dubai,Bank
Bank of Sharjah P.J.S.C,Sharjah,Bank
Arab Bank PLC,Abu Dhabi,Bank
BNP Paribas,Abu Dhabi,Bank
Al Khaliji (France) S. A.,Dubai,Bank
Rafidain Bank,Abu Dhabi,Bank
Bank of Baroda,Dubai,Bank
Janata Bank PLC,Abu Dhabi,Bank
Habib Bank A.G Zurich,Dubai,Bank
Banque Banorient France,Dubai,Bank
Dubai Islamic Bank P.J.S.C,Dubai,Bank
Sharjah Islamic Bank P.J.S.C.,Sharjah,Bank
United Arab Bank P.J.S.C,Sharjah,Bank
InvestBank P.J.S.C,Sharjah,Bank
Credit Agricole-Corporate and Investment Bank,Dubai,Bank
Arab Bank for Inv.& Foreign Trade,Abu Dhabi,Bank
Emirates Islamic Bank P.J.S.C,Dubai,Bank
National Bank of R.A.K P.J.S.C,R.A.K,Bank
Emirates Investment Bank (PJSC),Dubai,Bank
El Nilein Bank,Abu Dhabi,Bank
National Bank of Oman S.A.O.G.,Abu Dhabi,Bank
National Bank of U.A.Q PSC,U.A.Q,Bank
National Bank of Bahrain,Abu Dhabi,Bank
National Bank of Fujairah PSC,Fujairah,Bank
Abu Dhabi Commercial Bank P.J.S.C,Abu Dhabi,Bank
Commercial Bank International P.J.S.C,Dubai,Bank
Abu Dhabi Islamic Bank P.J.S.C,Abu Dhabi,Bank
Al Hilal Bank P.J.S.C,Abu Dhabi,Bank
Doha Bank,Dubai,Bank
The Saudi National Bank,Dubai,Bank
Ajman Bank P.J.S.C,Ajman,Bank
National Bank of Kuwait,Dubai,Bank
Industrial & Commercial Bank of China,Abu Dhabi,Bank
Deutsche Bank AG,Abu Dhabi,Bank
KEB Hana Bank,Abu Dhabi,Bank
Barclays Bank PLC,Dubai,Bank
