Institution Name,Head Office,Institution Type
Gulf Finance Corporation PJSC,Dubai,Finance Company
Amlak Finance PJSC,Dubai,Finance Company
Tamweel PJSC,Dubai,Finance Company
Samaa Finance PSC,Dubai,Finance Company
Aafaq Islamic Finance PJSC,Dubai,Finance Company
Al Mashreq Al Islami Finance Company PJSC,Dubai,Finance Company
First Abu Dhabi Islamic Finance PJSC,Abu Dhabi,Finance Company
Mawarid Finance PJSC,Dubai,Finance Company
Reem Finance PJSC,Abu Dhabi,Finance Company
Al Futtaim Finance Co. PV J.S.C.,Dubai,Finance Company
Deem Finance LLC,Dubai,Finance Company
Emirates Money Consumer Finance LLC,Dubai,Finance Company
Finance House LLC,Abu Dhabi,Finance Company
Siraj Finance Company PJSC,Abu Dhabi,Finance Company
AMEX (Middle East) B.S.C.*,Dubai,Finance Company
BMW Albatha Finance PJSC,Dubai,Finance Company
Al Ain Finance Co. PJSC,Abu Dhabi,Finance Company
Quantix Technology Projects L.L.C.,Abu Dhabi,Finance Company
